barcodes,xcoord,ycoord
RRRGRROGBROGGR,3886,4843.4
BOBRBBRGOORGBB,4201.7,1215.8
ROROBBOBRGRRRG,4543.6,2343.8
BBGBOGROGOBGGG,1221.8,3405.7
OBROBBGROOBORB,1553,3662.8
OOOGGOGRROORRO,4526.8,4754.8
BBBBBROGBGOOGO,1003.3,3458
BBGRBGRORGOBBB,1888.8,4389.9
BBOOBGRBGGOBBR,2866.1,1934.9
RGGBGRORBORBOG,3257.4,1230.4
RORGOBOBOOOGOB,1657.7,4139.6
OOBOGGOOBOROBB,2702.4,4294.7
BORORGGGGOORRG,1539.3,3066.1
RGBOOROGBRBGGR,3670,1893
OOBGOGRRRGBGRG,4386.3,5099.9
OOBBRGGOGRRRRR,2758.8,4379.3
RBOOGBBGBGGGOB,1445.8,3924
GBRRBGGGBGGOBB,602.01,1574.7
BRRROGOROOBOOG,2639.5,5341.3
GBGBBBOBOGGOGR,4350.6,2180
RBGOBBOGBBRGOO,2917,942.77
BOGOBGBGOBGRGG,1792.9,4405.3
RRRGRRGBOOROOO,4085.6,5199
ROOGRBOGOROBRG,1680.9,3772.1
RGRBROROORRRRR,2052.6,1187.7
RGOBGRGBOGGGBG,3104.7,3251.6
RBOBBGOOOGGGOG,1808.4,3428.5
GRBGRGOGORORGB,4310.5,1027.6
RBGROGOGBOOOBO,1759.6,2828.5
GRRRRRRGBBGOOG,4054.2,1764.7
ROOGGROOORBOBG,3744.5,3259.3
RBGROBGBOROOGB,1451.4,3145.5
GGOGOGOORBOGOR,1151.3,3874.5
GBGBRBGBGGBOGB,4986.3,2102.1
GBGGBBOOGBOOBR,3399.8,2813.2
GGRGGGBGGRBRGB,3580.7,1523.3
OBBOGBGBGGORRG,2610.7,1130
OORORROGOORRBR,4507.1,1336.1
BOOROROBRROGBO,1634.5,3571.7
OBGRGGBBORBOGR,1706.8,2848.9
GBBRBOBOORORRB,4364.5,3995.2
GBBRRGGRRGBRRO,2087.2,5604.5
OOGOGRBBRROGGB,1560.4,3212.6
BGGRGRGRRGORGB,1473.5,3855.7
BOOGRRBOOGBORO,3982,889.91
BROGBBOOGBBBGB,2886.8,5346.8
BROBOBGORBGORG,1645.9,2259.4
ROGROBRGRORGBR,1180.6,2549.5
GBGGBBGGBGORGG,4687.2,3669.6
ORROBOBGRBGORG,2475,5124.3
OGOBGBGGROBGRB,2139,746.55
RBORBGGGRRRRBB,2952.3,3206.1
GBGOGBBGORRBOB,1773,4615.6
OGOBRRRGGGGGOO,3456,3422.5
ORBBGBOBRRBBGG,1866.9,4104.1
OGORRGRRROBBRG,1957.4,3000.6
BBOOBBRROGOGBR,5061.2,3858.6
GRGOOGGOGGROGR,5026.2,2947.9
GORGOBBGOOORRR,2194.7,3460.6
GOOOOGRROOOBOO,3726.1,2333.3
RORRBBGBRBORBO,3405.1,1009.7
OBOBOBBGRBGBRG,3172.7,3353.3
BOBRBGRGORROGB,3159.5,3140.4
BGROGRGBROGBOR,2069,4878.3
RGRBRRBORRRGOB,2624.2,4312.1
BOORBRGOROOOGR,4058.4,2825.7
OBGBRGBROBRGRG,4340.4,4985.6
ORBGBGBBRBORBB,514.58,3566.7
BGRBRBRROGBBRR,1430.3,3624.8
RORRBRBBGRROBO,996.06,2749.4
BRRROBBGRBOGOB,3843.8,5050.9
BGGRBBGORBOGBR,4374.4,990.34
GBOBGROBBRGRBB,2577.7,3255.3
RGGGBBGORBGGOO,5279.6,3195.9
RGOOBRBOOORGGO,2355.1,1627.5
GOGGBOROBOROGG,1664.1,3774.4
RRBOBRGRRRROOG,2706,5032.7
RBGBOBOOGBOBGO,2179.6,3437.7
GBBGRGRORRBOGR,1000.2,3485.5
OOGGBGRRGBBORR,3395.7,2047.7
GOGOBBGOOOBRRO,4528.5,4472.8
RRBRORGGBORBGG,3768.2,4858.8
GGBBBRGOGRBGBR,5555.2,3067.9
RGOOGOGGGBOBBO,3944.7,3117.7
OGOGBOOROBGGRB,5213.8,2230.1
RBOROOGGBRBBOO,2394.7,2680.5
ROOROBBGGGBBOO,2514.2,3394.6
GGOGGOGBOGGBGB,3315.4,5718.9
RROGGRBRGROBRR,4192.6,2728.8
ROROBBOOGROOOR,1958,4590.7
OGGROGGGBOGGOB,3613.7,1888
OGRGBRGROGBGOO,2366.6,1820.6
RRBBGORGRGBOBB,3883.5,5012
RGBOGOOBBRBGBG,3260.6,3168.1
GGBRBBORBRBROB,3084.1,1056.3
ROBBBROGOBGGGG,4060.8,3039.3
OGOBGBGGBORRGB,1180,2156.8
OGOOBBORBRRBRO,2545.1,493.28
BBBBBORROGORBB,3296.1,926.69
RGOOBGGRBRROOG,3620.5,768.81
GROGOGRGBBGROB,3465.9,4933
OBGOOGBBOBBOGR,1618.7,3624.2
RRRRBOBBORBRRO,3480.6,3097.7
OORRNBBBOOOGBG,1919.5,4779.2
RGGRBOGRROBGBO,2355.5,2858.3
RGROORBOOBRGGB,2331.3,1403.7
BGGRGRRORRROOR,3055,2724.4
GGBRGBGOROGBRO,4001.7,2401.6
RRBOGGBGGRGGGR,2164.1,1818
ORBBGGBGRORGRO,2242.1,1215.2
GRGOBOGBGGOGBR,4488.5,2389.4
BROBRBOOORRBBR,4589,4730
ORROBBOBBRGBRO,5266.7,4012.6
BOBRRGBOBOGRGR,1935.1,4933.9
OGRBGGOGRBOBGO,1642.9,3654.1
GGBGRRGRBRBOGR,3299,321.43
OOOGGBOGRRROGO,1942.8,2893.2
ORBBORROBOROGB,2948.7,2216.4
BBOGORRBRORGGO,3065.8,1732.3
OBOBBBGGBOBBBB,1982.7,2565.9
BGROBBOGBBROOR,3057.3,5224.4
BORROBGGRGOOGR,3500.8,4850.6
RGGOBBBBRGGOGO,1928.9,1664.5
BGGBORBOGBBGOG,4519.1,4989.2
RBGRGOBBORGBOG,2691.9,3532.2
OORBNRBGRBOBOB,5032.2,2108.6
BRORBBOBGRBBGO,1453.5,3649
OROOBBRGROBBGO,1108.2,3837.8
GBRRGBOBOOOROR,4609.6,3756.7
GBGBBBBRBBBBBO,4388.4,4639.4
BGRBGRGRRRGROG,1138,2919.1
GOORGBBRBRGORG,2137.5,981.64
GGGRROGRBRROOR,5645.4,2853
ORRGORBGGRRROR,2101.7,4803.2
BOOROOGGGOGBOG,3588,3457.7
BGRROOBBGGGOGG,5718.3,3310.9
RBOBGBGROOGORR,1860,728.09
OBBRBGOOGRGBBR,5186.1,3430.9
OBBRBBGOOORRGR,3406.5,3513.3
GOOBGGOGOOGBRR,2068.7,1549.2
BOORGROBRBBGOG,3965.1,1305
OROGOBORBROBRB,1194.1,3506.5
BBGGOGBRRRBOGO,4617.9,3780.5
GGOBGGBOOOBROG,5176.1,2638.4
OROGBOGBBOBGGR,1929,4722.6
GORGORRGOBOOBR,1321.2,1800.8
GGGORBGGOBGRBR,1441.6,1591.8
BRGBGBRGRRBOGO,1055.4,2929.3
RRRBOGRGGOBOOR,3132.4,3237
BRBORRGGROROBG,3229,1348
RGGGBRGGBBGOOB,3066.7,739.44
BBBRBGROOOGOOR,1813.3,3471.7
RGGOBRBBOGRBOR,3748.6,4389.5
GBRRBRBROOOOOO,2198.1,3441.5
OBGBORBGRBBBBR,2420,4309.1
RORRBOORBGGGRO,928.45,2855.2
BOOBOOBOGBOOOG,3261.4,4475.4
GBOGBBBRBOOGRG,1161.5,2360.1
GGRBOROROGOOGO,2270.1,1877.6
OOOBBGBBGBRBRB,1490.5,3626.6
RGBRBOROOOGGRG,524.3,2064
RBGOGGOBGGOGBR,3149.9,5474.9
GOBBOBBOGRBGGG,4281.2,2761.2
GOROBBBROBBOOO,4791.1,4473.9
GBGROOGGRBROBR,3934.8,509.93
RGRROGGRGOOBRR,1331.9,3106
ORORBGRBOBGOGO,3949.8,3181.8
RRBOBRRORGRBBG,2543.2,4952.8
OOGBGROROGGOGR,4012.4,2651
GROOGROGGRBOBR,2032.7,2825.3
RRRBGGBRORBBRB,1710.3,3193.3
GORORBBORGROBO,3976.8,4769.8
BGBOORRBGBRBBR,1723.2,1707.5
OBRBORBGOOBRBR,3713.7,2477.7
ORGOBROROBOOOO,792.71,2139.2
GGOGBOORGBBGGG,3325.3,5287.9
OOGRBBBRBBBBBB,5201.6,3372.9
RBBGBBGGRGBGGG,3939.1,1262
OOBBOOBRRGBOOB,4609.5,4986.4
GOGBGRROBGROOB,2924,4442.8
OGBGORGORGRROG,3926.8,4323.8
BBRGGRGBROGBBG,2934.4,4431.5
GRORGRBRGOROOB,3120.8,4453.6
BGROOBRBRBBBGR,1845.1,717.39
RRBOBOOOORBBBO,4063.2,4774.6
BROGGROBOGRRBO,3754.4,5332.9
BROOGBRBGBGRBB,3797.5,3040.7
OOOOOBRGROGOBR,2602.8,3411.6
BBGBOORORBRRRG,4180.9,2613.9
RBGBGGGBRRBBOG,3796.3,3306
BBOOGGRBROOBBR,3828.4,4818.4
OGGRRGGGRRRBOG,4033.8,5075.6
RGGGOGRBRORGGG,3364.8,1499.5
OBBOGGRGROROBB,1967.5,1889.8
BRBGRRRGOGBOBR,1812.8,1308.9
BOROGGBBBROGBG,3054.5,5430.7
GBOOOROBOBOBBR,2366.1,3487.4
RBBOBGGOROGBGO,2184,4945.2
GBORGBGROBRGRR,2845.1,1957.4
BBBBOBGGBBOOOO,4207.1,5015.8
GOGOBOGGBOBOBR,5161.4,4274.2
OGGOOGBORBGRRO,2430.4,4816.3
GBOBGGBGGOBGBR,2890.5,5202.7
GBGOGRBOGGRRRR,2345.6,666.53
RRORRRRBRRGOOG,4282.3,4644.3
OOORROROGRGOOR,1405.8,3225.7
OGBGBGBRROROOB,2226.1,6017.1
BGROOBBRBBBBBB,3426.2,2079.9
RGGBBGORRRORRR,1571.7,2890.4
RBGGOGOROBBRRO,1588.6,3047
OOOBBOOGGGGOOG,1993.5,3308.8
BOOOORRROOGBBO,2246.2,673.32
BGBRGORRBBRORB,2309.5,1045
GGGRRGRBROOOBR,4849.1,4665.5
GBBROOBBGRBGBR,4478.6,1362.8
GGRGGGGOGRBROO,4271.5,4151.2
GOOROGGGBOORRG,1881.2,3554.7
ROBGOOGOGOOBBR,3003.5,3405.5
GOGBRBOGROROOB,1710.2,4254.5
BOGRGGBGROGRBB,3969.2,5154.4
BOBRGGBGOOOBRR,3991.6,2846.5
GORORBBGGRROOR,3977.8,2739.2
RGRRGRGRBBBORR,2852.6,3221.6
GOOOBGBBROGRRB,4361.1,4117.1
BRRGNGOOOOGOOG,4348.5,2618.9
RGBRRRGRGOOGBR,2494.1,2816.8
BORBOBRGOOGBGR,1633.2,4343
RGOORGBBRBOORG,2184.7,2614.3
RRBGRBRBOBROGG,2366.5,2562
OOOOGBRGBROOOB,1853.2,3492
RRBOBBGBGOOBRB,3425.4,4681.5
RGBRBGGGRBORRR,1926.4,4739.5
OBGRORGOGRRBBR,2211.2,2370.3
BRGRBBGBRORBOB,3082.5,3216.2
GGGBBRBBOGRGGG,3669.2,1526.5
GROBGBGOBRBGGB,3143.1,5075.6
GGRGBROGGRGBRO,3401.5,3144.1
RGGRORBBOGGRBG,4961,3173.6
ORRBOGOBRORBGB,2409.2,745.75
GBGOBRBGROGOGO,1299.7,3264.4
BOOBRBRRRBROOG,5142.2,2291.3
BBBRRBROGRRGGR,3450.2,1597.1
BOBRGBGGGROOBO,2590.3,1324.4
OGBONRRBGRBGGR,4429.1,4610
RBGRRRRBBOBGBG,1247.5,3148
GOBBGBGROOGORG,2970.2,3410.1
GOBGBRGORROBOO,1370.7,3235.8
GGBNOORGRBROBB,1613.7,3266.5
OGGOBRBBORRBRO,3094,3176.9
BORGBBRRGRGGRO,1796.4,2265.4
OGGOBOBRBOOBOB,1270.8,3449.7
OOGBOBOOORRGGG,4059.3,3011
OBOORORBRRBRBO,5160,4215.6
ROBRBGBGROGOOO,3175.7,4474.5
ORGOOGRGGRBOOG,3462.3,3370.6
GRGRORBROBRGRR,2024.1,4921.7
OGROOOGGORGRRR,3263.2,1116.9
GGGROGRRROOBBG,3291.6,3494.6
GRBOOBRGBOBGOG,3444.4,3493.5
GGBGBGRGGOOROO,4657.8,2368.8
GOOOGGOGGORRGB,4779.3,2240.2
BBGRBRBOOOOBOR,1482.2,4332.2
OBOBBOROROOBBR,5465.2,4398
GBROOBOOOOBOBG,5133.7,4173.1
OGBGORBGGGGRGR,3618.3,3409.8
BOGBGBGGBGGGGB,2071.8,2679.5
GBRBORRBRROBOG,2956.5,3262.1
GBGBGROORGBBOB,1358.5,3266.3
RBOROBOGGOOORO,1572.6,2126.9
GBROGGGOGBRBGR,992.85,3745.4
GROBGBORRRGRBG,2704,2590.7
GOGGNORBBOBRGR,3200.7,478.63
BRORGGGRBGGRRR,3490.9,3526.8
BRBGBBBOOOGGRO,5549.7,3864.7
RGBGOGORBOOBGR,4910.8,4798.8
BBGOOGGRRBRBRG,1451.4,3464.8
BOGORGOORGBBGR,1982.8,4893.3
BBRRGBOGRBRRGB,1396.6,3986.4
BRGBGBOBRBOOBO,3295.9,3578.6
OROROBGGOBOGGR,3121.9,3180.1
OBGBGRGBROBBGR,3352.5,3457.7
GOBGOBGOGORGOO,4027,797.63
ROOBGOOOGBRGGG,3414.6,3457
BGRGGGGORBOORO,2664.1,2628.8
OGGOOGORGOGRRG,4381.5,2504.5
ORGBGRRRGOGOBG,1652.1,3884.8
ORBGRGGGGRGBBB,2397.9,3310.9
ORGBOOBGORGRRO,2727.6,4985.4
GRBOBBGBROBRBB,2300.1,1428.7
BRGOBRRRROBBRO,1555.7,3405.4
BOBORRGBBOGOOG,1407.7,3882.6
RBRBBRBRBROBRO,2225.4,4853.4
BOGORRROBOOBGB,1615.3,4024
BBRRBBGBRROOBG,2369.6,4293.9
BGBRBRRGBOBGRG,1252.6,3371.4
BRGRBBBRBBGGRR,2642.3,5046.7
BBGORGORGRGOOG,1710.1,862.48
GBBORBORROROGB,2417.6,3519.8
GBGGORGGBBOOBO,1180.4,4878.8
BOGRORGOOBRGOR,2580.6,1214.3
RBORBRORGRGRRO,3086.2,452.96
ORGBGOBOBORBGG,4005.3,2681.5
BRRBBBBGGRBGOG,2371,3263.4
BRGBBBOGBRRGRO,2502.9,292.93
OOGGBOBGROROBB,1202.9,2755
RBBOBBBOOGOBRG,2229.4,3515.5
ORROORRRGROOGB,4022.4,1408.8
BRGROGBRRBRGBB,5432.7,3042.4
BBGBBOROGRGOGR,3800.2,3170.2
OROGORBGRBOGGB,1648.3,4282.2
RGGGORRRBOGGBB,2395.1,2103.5
GGGBORORORRGRR,2674.6,3467.8
GORBOBGGRBBBRO,3286.6,2443.9
ORBBBGBOBGBGGB,3470.8,3502.2
GRBGOGGBOGORGR,5308.4,3130.3
OOBBGOGROGRRRO,2954,5349.8
RGOOBGOOOOORBO,1618.9,3316.4
GRBOGGGOORBRBG,3786.3,2091.4
BOOOBROOGBROOG,1837.1,3809.5
RRBBGGOORBROGB,1854.4,2378.3
GBOOOOGORROBBR,1040.1,3458
OBORBGRBGBRBOO,1477.3,1348.9
BRGGOBGRRRROBG,2252.8,3467.5
BRRGGGRGRORBBR,3562.9,2492.5
GROOGOOBRRROGO,5086.5,2907.2
RORBGRBORGGGOR,3471,449.98
BRBRBOGRGOOGOO,1330.6,3695
OBRBBRRORBOGRR,3752.5,4978.6
OORONBOROBOBOO,3275.9,3175.1
OGBGOOGBBOGBGG,2125.7,2007.8
OGOBOOGRBRRRRG,4979,2228
BGORRORGROROBO,3047.5,3273.3
GOGRRBRGOBBOGO,4975.9,3069
BBOROBBOBBBBBB,3628,1877.7
BORBBRGOORORRR,976.02,2818.3
BGRRBBRGOBOBGG,1351.4,1972.7
ORGBOBOOORRORB,1878.9,2993.4
BOGOORBROOOGRB,2565.9,5058.6
GBORGBGGOORBBR,5124,2124.7
GBGORBOGBGRBBR,1869.1,4491.8
OBOGBGBOGOGBGB,1473.6,3725.8
GROOGBGGOOGRBR,1198.9,2453
BBRGROOGOBRGGG,2816,4387.4
GGOGRBGGBGOBGG,5385.3,4202.4
BOOBOGROOOGOOR,2485.2,3358.3
GOGGGRGORRGGOR,1565.8,3771.7
RBGGBGGOGBOOOR,5092.4,2157.3
GOGBRRBROORGBR,2660.7,3308.2
GBOGOGOGBROGGG,1008.5,3530.4
RBOBRRGOOOBBOG,2226.6,4235.2
BGORBBRORRGOOB,3317.1,2198.5
ROOGOBOGRGGORB,4033.1,2705.1
GROBOBOBOBBBOO,3466.5,3434.8
RBBGROBRGOOBRO,1603.2,4549.6
GBBRRBBGBBRORO,4526,4858.7
RBOBRBGORGGOBO,1083.4,2861.9
GBOBBRRBRRBBBB,2054.3,4881.1
RBRROOBBRBRBGR,1822.4,1320.6
BBBROGOOBRBRRO,2376.7,2745.1
OBRGGOGOROOGRO,3832.5,3213.3
OBROGOGORRBOOB,5046,2906
GRGGBGGRGBRGGB,997.46,4123.4
BGGGRBGGGBGBBG,3617.4,1903.5
BBBOOOBOGBBOGR,3069.2,2028.4
GGGOGRGORGRBGB,2629.9,4298.3
GGOBRGBGBROOGR,2646.8,2562
BOBGGOGGRGOBBR,4492.5,2477.6
GOGRGBRGBOBOBB,1511.8,4924.9
ORRGORBBGBROBG,1667.5,3998.8
OBBOGBGRBRBORO,3542.4,3064.4
ROROOBBGBGRBGG,2138.7,2940.5
OGOBRRGRBRRORR,2936.2,1178.5
OOGOORGBBORRBG,1794.1,2929.8
GOROGBRGBORBGB,4333.9,4067.8
BRORBBGRBROBRO,1656.7,3310.3
RGGGGGBGBBOGOG,3103.2,1080.1
RRGOGBBOOOGOOO,4499.9,2402.5
BGGBRGRRRBOBRO,1531.6,4362.5
RBOGGGGOOBRBRG,3085.3,3510
GOGRBRGBBOROGO,987.49,1507.2
RBBGBBORBBGGGB,5144.5,2829.3
BOGOOBRBRBGBOG,3671.1,3460.9
OBBOBORRROOOOG,4966.8,3081.4
GGOGRGGOGOOBGG,3636.3,2243.5
BGRBBRROGOOGBB,1714.1,3041.9
BBBBBBBBBBBBBB,1717.7,3851.7
GORRROOROOOOOR,1502.4,4314.2
OOBOBBROGBGBBG,4790.1,3588.1
BOGGBGORBBGRRB,1830,1159.4
BRRBBBBRBBBBBB,2143,2469.2
RORGGGGGOBRRGR,2697.6,4278.7
GGGOOBOBGRBROG,3085.8,4983.4
RBBGRBRGRRGOOG,2954.2,3191.2
OBRORRBORRBGBO,4449.7,1109.8
BBORRGGBOBOGGO,2499,2468.7
OGBRBOBBRRGOBR,2669,2087.7
ORRRNRGOGOBBRR,4205.4,1425.2
RRRGBRBOGGOOOB,2362.6,3396.9
BGBBBBGBGGRBOR,4777.7,3559.4
RBBRBOBORBRRGG,3845.7,1990.4
BOBOBBRGRBOOOB,1847.1,4565.5
BBGBOGGGGGGGOO,4176.8,980.15
BRORBBROGROGGO,1674.9,3164.3
RRORRRRGGROGOR,2042,4166.8
RGBGOOGBGGRBBR,2475.9,3481.5
GRGGRORBGBRBBG,1974.5,4859.9
RGRGBBGRROGBRO,3450.2,5406.3
GBOGGBGOROBBBR,1352.3,3844
ORGRRGBGGRBOOO,3127.9,816.65
OBOGOBRGRBGRGO,906.16,2872.7
RBRNBGROGBOGGR,1205.4,3621.5
BORORBORBRRBBB,4770,4748.6
GBGRGOGBRRRBBO,1521.3,3689.7
OOGBROOOORRGOR,3595.3,5065.3
RRGBOGGBRRBOOR,2895.6,3431.5
GBROOROBROBOGB,1232.5,2252.5
OBORGBOGBBGGRO,1808,1670.2
RBRBBBGGRROORB,3686.6,515.29
OOBBGBRBRBGRBR,806.35,2931.9
GRBBOBGOOGRBBB,3527.3,6016.5
BOBGGRBRGRRRRR,3901.4,3477.5
BOGRGOOBOROGGO,2153.3,916.13
BOORGGRORRBBBR,1718.4,3654
GORGOROGBOBOBO,4508.6,1844.4
GOGROORRBRGRRB,3856.7,4408.8
BROBRGRRBBBOOB,3446.3,1046.7
GOORBGOROBBRRO,1823.2,4877
GGBBGRGBGRRRBG,3513.4,3024.9
GRGORRGOOOBROR,1723.1,4456.1
BOBRGBGOBOOBBB,2939.3,2847.2
OOBOBRRORORBGO,975.1,2849.3
RGBRBORBGGGOBO,3966.4,5513.9
RGGRBBOBROOBBR,4559.8,2320.6
BBBRGOBBRORRGR,4412.5,4059.1
RBBGBBOOOGOBGR,2160.9,3581.3
GGRGBBORBBRGOR,3885.8,1915.1
GOORBRGBGRRBBB,4872.3,4499.6
RBGRNBBORBROOR,1863.4,4753.2
OBBGOGRRRBOBRG,1441.8,4156.2
OGGRRBBOBOOGOO,2373.1,3348.6
GORRRBGGBBGGOB,724.85,2668.8
GOBGBRRBBRGBBB,3957.9,3145.2
GBOORBROROGOOB,2829.9,4331
RGOOOGRRRGBGRB,3479.8,3513.8
RGGGBRRRGBRRRG,1361,3954.6
GOORBRBRBOBOGB,1532.3,3356.5
GROOGRGBORORBR,2577.5,1102
OOOOBBGBORGOOO,2856.6,2043.5
ORGBOGGBOBGOBR,2965.1,2023.1
GRBRBOOOOBOOGB,1917.2,2931
GROBBOBGROGGGO,2436.7,1528
OORRORBRROGBOB,1317.7,3833.9
OBRRBBORRGRORG,4408.7,5064.4
BOGBGBOOOGOBRG,4200.2,2558.1
RGBBBGGOGRROBO,1544.4,3022.6
BOOGRRGGRGGROR,2821.6,1538.3
GRRRBBRBRBBOBO,2094.6,2045.4
RGGRBOGORBGGOO,4903.9,4770.2
RBOORRROGBBOOR,4890.5,4462.7
BBOGOGRGGRRBRR,2618.5,489.83
ROORGBBBRBGBOG,1877.1,4379.5
RBGRGBBGORRBOB,2708.6,5287.1
GBRGROGGRGOOOG,1913.2,528.03
BRBROBBORGROOB,2390.2,378
ROGBRGOGORGOBR,2426.1,1970.5
BOBOBBBORBGRBR,4276.5,4993.1
OGORORGRROROOB,3670.4,1774
BGBGOGBGROROOB,4712.8,4516
OBBOBRRBOBOBGO,4563.9,2390.3
GRROGOORORRORR,3095.6,1268
BBOBGOOGGOROGB,1715.2,3163.4
BRBGBRROOOBGBR,3994.9,3067.8
ROGBGBRGBGRRRG,1792.3,4421.4
BGGORRRGOOORGO,939.8,2369.4
BGBORGOORRBGOR,3888.6,3206.7
GGGBNBOBGBRRBB,2591.5,3280.2
OOGGBRGROORBRO,1531,3326
GGORGBRBRGGOOR,708.68,1670.8
BRBONROGORGROO,3196.3,1554.4
RBOBOGBGGOBGBO,1815.9,3094.8
ROORGGGOGOROGG,1576.5,4100.2
RGBOBGRBGGGGOO,5289.7,4275.1
BBGRRGGOOGGGOO,2106.6,3082.5
GRBOBRGRRORRRB,5395.9,3124
GROBBORGROROGG,4638.7,4477.6
GGOOBBBBORGGOB,2913.7,3504.6
BOBOBGGBOGGOGR,3440,5107.4
BOOBRBGGBBGOOR,3864,3267.9
BGGOOBOGOGRRRO,4332.3,1004.7
RBRBRBRRGOORRR,1948.3,3305
BGORBGOBBOBBBG,4095.3,4230.1
RBRBGROBRBOGBG,2587.6,1671.4
OBOBORROROBOBO,1669,889.55
BGRGOROBRGROBO,1510.5,1840.3
GGRORROOBOGOOB,2954.8,3412.1
GORRROOBBOBRBR,1393.4,3654.9
OORORRGGBGOOGO,3337.5,3458.7
OBBGRBRBBROGOG,2091.5,5074.9
RGBOBBGGBBOBGR,1278,3241.6
BGRRROBGOOOOOR,4145.8,2643.9
BGBGBBGRGOBRRR,926.65,3028.1
RGBBRROGGRRGGO,2602.7,5052.1
GGRBBGBRBBOORG,3340.3,3103.8
OBRGORBOOGBOBG,3292.2,3216.3
GGGORGBOOBRBBO,2000,2287
ORBGROBBRBOOOO,1897.6,5043.9
GBRROBOOROGOGO,2890.8,1352.9
OBROOGGBOBOGGG,2787.8,5105.6
BBBOOGGOOGROOR,3917.4,5012.9
RRRGOBRBOGRGRB,2367.1,3304.6
BGOOBRRBOGROBR,4924.1,3212.2
BGBRORBGGORGGR,1716.8,3669
OBBROBGGOBBOBR,2622.1,2103.3
BGOGOBOOGBORRO,3790.6,813.87
GGGGBBOORRBRBB,1386,3049.4
BBBBORRRORBRRR,2842.9,4319
ROORBBBBBORGBB,5190.3,2350.1
RORORGORRORRRO,742.13,3217.6
ROROBGGRRGGORB,1129.1,3543.9
ROOGBRGBBRGBNB,1311,2435
BROBBROOGBGGOG,1107,3580.3
OBGRGGOOOROBBR,1839.3,2628.1
OGRGBRBBGRGGBB,1965.1,1530.3
BGRBRGOGBOOOBO,1776,1469.4
BGROGBGGORRBBR,1144.9,2568.3
BBRBGORGGOGGBR,4380,5192.6
BGRBRGGOROBOOG,3278.7,3226.5
BGRGRROOBRROOB,3644.7,4917
RBGRRGGOORGRGR,2145.9,2162.5
BORRORGBGGOGOB,2011.1,1212
BOBRRBGRBBBORR,3554,3105.5
ORRBRBGGOBROBR,2338.6,1849.3
GGGOBBBORGOBGG,1819.2,4696.1
RRRBOOGBOOGOBO,1475,3838.6
OBBOGRBBRBRGBB,1774.5,4349.5
BBGBBGBBGBRGBR,1883,3405.8
GBOGGOGOORBOBO,1843.3,732.79
BRORRRBGRBBGOB,2132.9,1406.1
RROOGROGGRGOBO,1948.5,1505.3
BBGRROGOGOBRRO,3955.9,1131.3
GRBRBBRROOBOGG,4595,2299.4
GORBGGGBGGRRBB,2540.6,3270.2
RGBORROOBROROB,3955.1,3128.5
ROORGGBOBOGGBO,3943,4292.1
RBOORGBOORBOBG,4281,4138.6
OOBGBBBRROGOGG,4677.2,4493.3
OORGOROORGGOGO,4804.4,4198.4
OORRBOGORGGROO,2883.9,1367.1
BRRBGOGGBRRRBR,2423,1388.8
GRRRROOBGRORBB,5227.2,4315.7
BRROGRGGOBGBGR,2612.7,5260
RRBOGBGBBBROOR,2697.6,1306.9
ORGBGBOBORRROR,1951.4,2986.5
RRBRROGGROROOO,4694.3,4425.3
BOORORGOOROOBR,3417.5,2155.1
OROGBRRRBBBBBB,4721.4,3397.6
RGBOGBBRROBRBB,2582,525.08
OOBBBBGBOGOOGR,3377.5,3087.4
RGRGGGRRBRGOBR,3962.2,882.47
OBBOBBORORRRRO,3566.4,617.24
RRGOOGBBOBBOGG,1853.9,4465.8
RGRRORGRBBORBB,1674.1,1481.8
OBBBBGBBOGOOGB,2777.8,1770.6
GBBBGBRROOBOOO,2741.4,3204.6
GRGROOBOOGGGGG,2861.8,3462.3
RGRRGRGOORRBBG,3321.8,3516.6
OOOOBBGGBRRGGG,1279.1,3378.5
BRORRGOGGRBGRO,2212.1,1871.5
RBGBGGRROOOORO,1605.3,2265.5
OOGROBGBOOROBO,4181.8,4251.7
GGGGBRBBRORGBO,1623.7,2846.3
RRRORGRGGGBBOR,2454.6,465.69
BRBRORGBRBOBBR,1994.5,3292.4
BRORGGRROGROBO,4553.7,5114.7
RROGOOOOROGGGR,3556.1,2994.5
GBROBBGOGGGBOO,4515.6,4825.4
OORORGRRRRBORB,1361.3,3909.8
GBRRORBBRRGRRB,3563.3,2226.1
GBRBBRGRRGRBOG,5377.4,2113.6
GGBBGOBOGROGGO,2739,3233.8
BRROGROGGOBGGR,3865.8,2632.3
BBBRROGBOGOOBR,3576.5,592.01
OGRRGGGOOOBRBB,2341.6,1815.3
RGGBGBRGRRRBBG,4057.2,2688.9
GBROBORBGBGGOR,4346.7,2591.3
BRBORRBOORBOOR,5591.5,2869.7
RGBRRRGGOOBGGB,2011.9,4153.9
GBOOGBGRRORGGR,4392.3,4041.6
GGRGGBGBGROBBG,3963.9,4306
RBOBGBBRBORBRO,3807.8,2409.9
BBBBOGOGRBOBGR,5124.1,2787.5
GOGOBOROGRRRGB,1828.9,3781.4
GRBOGRGGBOBBBR,1570.2,4201.9
GRROOBBROGBORO,1696.5,3189.9
ROGBGOGBORBGOO,3110.7,5376.8
RGBGGBBBRGGBGO,2455.7,1443.6
BBRBBGGBRBBOBO,5717.4,2742.5
BROROGRGBROBGO,4968.2,3054.2
